url_length,domain_length,path_length,path_depth,digit_ratio,special_char_ratio,dot_count,hyphen_count,subdomain_count,has_ip_address,has_https,url_entropy,domain_entropy,token_count,max_token_length,suspicious_token_ratio,has_query_params,query_param_count,document_path_present,long_digit_sequence,path_numeric_ratio,semantic_subdomain_depth,has_deep_subdomain,brand_in_registered_domain,brand_in_subdomain,brand_mismatch,dns_query_success,a_record_count,domain_age_days,has_form,password_input_present,external_form_action,label
27,18,1,1,0.0,0.0,1,0,0,0,1,3.7821222241453065,3.350209029099897,3,14,0.0,0,0,0,0,0.0,0,0,0,0,0,0,-1,-1,1,0,0,0
16,7,1,1,0.0,0.0,1,0,0,0,1,3.452819531114783,2.807354922057604,3,5,0.0,0,0,0,0,0.0,0,0,0,0,0,1,1,-1,0,0,0,0
23,10,5,1,0.0,0.0,1,0,0,0,1,3.795088586397733,3.121928094887362,4,6,0.0,0,0,0,0,0.0,0,0,0,0,0,1,1,-1,0,0,0,0
21,12,1,1,0.0,0.0,1,1,0,0,1,3.880179922675737,3.584962500721156,4,5,0.0,0,0,0,0,0.0,0,0,0,0,0,1,2,-1,0,0,0,0
37,28,1,1,0.0,0.0,2,0,1,0,1,3.823393567922348,3.4852281360342516,4,12,0.0,0,0,0,0,0.0,1,0,0,0,0,1,1,-1,0,0,0,1
25,12,5,1,0.0,0.0,1,1,0,0,1,3.8332696895151077,3.418295834054489,5,7,0.0,0,0,0,0,0.0,0,0,0,0,0,1,1,-1,0,0,0,0
29,21,1,1,0.0,0.0,1,0,0,0,0,3.689901581992151,3.100916685694772,3,18,0.0,0,0,0,0,0.0,0,0,0,0,0,1,1,-1,1,0,1,0
30,14,8,1,0.0,0.0,1,0,0,0,1,4.01506101220307,3.09306920777189,4,10,0.0,0,0,0,0,0.0,0,0,0,0,0,1,1,-1,0,0,0,0
19,11,1,1,0.0,0.0,1,0,0,0,0,3.5368867237421666,3.095795255000934,3,7,0.0,0,0,0,0,0.0,0,0,0,0,0,1,1,-1,0,0,0,0
22,7,7,1,0.0,0.0,1,0,0,0,1,4.061482186720775,2.807354922057604,4,6,0.0,0,0,0,0,0.0,0,0,0,0,0,1,4,-1,0,0,0,1
17,8,1,1,0.0,0.0,1,0,0,0,1,3.337175341123077,2.5,3,5,0.0,0,0,0,0,0.0,0,0,0,0,0,1,1,-1,1,1,1,0
