phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,label
,https://nhungtrangvang.com/,,,,,,,0
,https://sezw.cn/,,,,,,,0
,https://runace.com/home,,,,,,,0
,https://peak-dns.com/,,,,,,,0
8016961.0,https://creencerater.firebaseapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=8016961,2023-01-26T00:57:44+00:00,yes,2023-01-26T01:06:40+00:00,yes,Other,1
,https://d-telekom.ru/home,,,,,,,0
,http://augsdaugavasnovads.lv/,,,,,,,0
,https://cadenarasa.com/profile,,,,,,,0
,http://yodacdn.net/,,,,,,,0
8775275.0,https://qrco.de/bfPunb,http://www.phishtank.com/phish_detail.php?phish_id=8775275,2024-09-23T18:59:17+00:00,yes,2024-09-23T19:09:50+00:00,yes,Other,1
,https://vdekh.de/,,,,,,,0
8598368.0,https://marv-iceberg.web.app/,http://www.phishtank.com/phish_detail.php?phish_id=8598368,2024-06-03T10:39:14+00:00,yes,2024-06-03T10:53:11+00:00,yes,Other,1
,http://kayzen.net/account,,,,,,,0
,http://audiomicro.com/login,,,,,,,0
,https://fgbradleys.com/search?q=test,,,,,,,0
,https://clipboardhealth.com/,,,,,,,0
8021307.0,https://meine-sicherheitshinweis.firebaseapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=8021307,2023-01-31T03:45:20+00:00,yes,2023-01-31T03:51:57+00:00,yes,Other,1
,https://fuse-box.info/,,,,,,,0
,http://brillianteducenter.com/account,,,,,,,0
8430688.0,https://docs.google.com/presentation/d/e/2PACX-1vSODZHVKrzOj1hFVfapqYawKopG288Xy4r3DfaPg3adCkyCJ4uoxckrvSEFHtO8JtoEcxKpVRl0Z-k3/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8430688,2024-01-26T20:07:36+00:00,yes,2024-01-26T20:12:37+00:00,yes,Other,1
,https://satelia.eu/login,,,,,,,0
8416050.0,https://delfinoarcuri4iad.blogspot.com/?m=1,http://www.phishtank.com/phish_detail.php?phish_id=8416050,2024-01-10T10:29:44+00:00,yes,2024-01-10T10:42:38+00:00,yes,Other,1
9149733.0,https://bit.ly/4law1CN,http://www.phishtank.com/phish_detail.php?phish_id=9149733,2025-07-08T06:42:02+00:00,yes,2025-07-08T07:03:12+00:00,yes,Other,1
,https://corefusion.net/account,,,,,,,0
9221076.0,https://dwm.ind.in/404/spazz/index.php,http://www.phishtank.com/phish_detail.php?phish_id=9221076,2025-09-24T15:01:50+00:00,yes,2025-09-24T15:22:04+00:00,yes,Other,1
9185691.0,https://tinyurl.com/D5D67T5sz,http://www.phishtank.com/phish_detail.php?phish_id=9185691,2025-08-16T08:41:02+00:00,yes,2025-08-16T09:03:05+00:00,yes,Other,1
8791090.0,https://docs.google.com/presentation/d/e/2PACX-1vTXAM4erZqRb7I-gQmnOLqbPLHSjZaa-CRN7kwYat1jzdBPu9euTAXO1m7Qbw2S1KQ9F62tlZHcfq3l/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8791090,2024-10-02T12:31:45+00:00,yes,2024-10-02T12:42:56+00:00,yes,Other,1
,http://gowesthosting.com/account,,,,,,,0
,https://dangcongsan.vn/login,,,,,,,0
,https://msrgear.com/,,,,,,,0
8898973.0,https://bit.ly/3VvMKFQ,http://www.phishtank.com/phish_detail.php?phish_id=8898973,2024-12-12T15:37:48+00:00,yes,2024-12-12T17:42:02+00:00,yes,Other,1
8232372.0,https://canisterofpaintsandaerosolys.web.app/,http://www.phishtank.com/phish_detail.php?phish_id=8232372,2023-07-20T00:41:37+00:00,yes,2023-07-20T00:53:01+00:00,yes,Other,1
,https://baocasino.com/,,,,,,,0
9225175.0,https://expertisap.com.br/regroup/tallness?email=redacted@abuse.ionos.com,http://www.phishtank.com/phish_detail.php?phish_id=9225175,2025-09-29T11:27:57+00:00,yes,2025-09-29T11:51:51+00:00,yes,Other,1
8987328.0,https://docs.google.com/presentation/d/e/2PACX-1vSLoP6dj-LWJSHy9T9qYCFbFQWpqcQFWsCEeIZtThKS7gbEUza79JGaRbfrWlHRb7J-ODYkN12i7Kzc/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8987328,2025-02-24T14:51:40+00:00,yes,2025-02-24T15:03:45+00:00,yes,Other,1
8971061.0,https://qrco.de/bfkA9N?pageuser=aCDBI,http://www.phishtank.com/phish_detail.php?phish_id=8971061,2025-02-11T14:27:17+00:00,yes,2025-02-11T14:32:35+00:00,yes,Internal Revenue Service,1
,https://hl0f2g6.com/,,,,,,,0
,https://xlr8r.com/account,,,,,,,0
,https://speededges.com/about,,,,,,,0
9048545.0,https://primmo-dumas.com/wp-content/ed/edp/,http://www.phishtank.com/phish_detail.php?phish_id=9048545,2025-04-05T03:42:42+00:00,yes,2025-04-05T04:12:04+00:00,yes,Other,1
